Registry,ID,Name,Type,Location,SDGs,Project Start Date,Credits Issued,Credits Retired,Project Website
CAR,CAR807,Alcoa Landfill Gas Destruction Project,Landfill Gas Capture/Combustion,US,[],12/18/2023,0,16922,
CAR,CAR497,Alligator River Avoided Conversion,Avoided Conversion,US,[],11/3/2020,0,582,
CAR,CAR935,Arcata City Forest Barnum Tract,Improved Forest Management,US,[],9/12/2023,0,13,
CAR,CAR575,Arcata Sunnybrae Tract,Improved Forest Management,US,[],4/26/2023,0,64,
CAR,CAR772,"Citrus County, Florida Landfill Gas Flare Project",Landfill Gas Capture/Combustion,US,[],5/7/2024,0,45,
CAR,CAR545,City of Garland Landfill Carbon Project,Landfill Gas Capture/Combustion,US,[],11/2/2020,0,90993,
CAR,CAR558,Indian River County Landfill,Landfill Gas Capture/Combustion,US,[],4/1/2024,0,23552,
CAR,CAR1019,LA PERSEVERANCIA BIOGAS PLANT,Landfill - MX,MX,[],4/16/2021,0,4394,
CAR,CAR998,Maas Energy Works Van Warmerdam Dairy Digester,Livestock Gas Capture/Combustion,US,[],11/11/2021,0,3947,
CAR,CAR432,St. Landry Parish Sanitary Landfill,Landfill Gas Capture/Combustion,US,[],4/13/2020,0,679,
CAR,CAR491,TRR Landfill,Landfill Gas Capture/Combustion,US,[],3/30/2021,0,1507,
CAR,CAR498,Wolf Creek Landfill,Landfill Gas Capture/Combustion,US,[],6/30/2020,0,1092,
CAR,CAR1262,"Captura de Carbono en San Juan Lachao, Oaxaca",Forestry - MX,MX,[],1/21/2022,0,2077,
CAR,CAR1120,Fair Oaks Dairy Farm LLC GHD-Designed Digester,Livestock - ARB Compliance,US,[],8/31/2022,0,45921,
CAR,CAR1328,Heartland Ranch Phase 3,Avoided Grassland Conversion,US,[],5/28/2021,0,10,
CAR,CAR646,Katahdin Iron Works Ecological Reserve,Improved Forest Management,US,[],2/2/2021,0,4050,
CAR,CAR694,Lucchesi Tract,Improved Forest Management,US,[],1/21/2022,0,1748,
